Frequency(Hz),S21_Magnitude,S21_Phase(rad)
2055729096,1.08E-07,3.066602162
2057539952,1.07E-07,3.066658677
2059350808,1.07E-07,3.066715192
2061161664,1.07E-07,3.066771707
2062972520,1.07E-07,3.066828222
2064783376,1.06E-07,3.066884737
2066594232,1.06E-07,3.066941252
2068405089,1.06E-07,3.066997767
2070215945,1.06E-07,3.067054283
2072026801,1.05E-07,3.067110798
2073837657,1.05E-07,3.067167313
2075648513,1.05E-07,3.067223828
2077459369,1.05E-07,3.067280343
2079270225,1.04E-07,3.067336858
2081081081,1.04E-07,3.067393373
2082891937,1.04E-07,3.067449888
2084702793,1.04E-07,3.067506403
2086513649,1.03E-07,3.067562919
2088324505,1.03E-07,3.067619434
2090135361,1.03E-07,3.067675949
2091946218,1.02E-07,3.067732464
2093757074,1.02E-07,3.067788979
2095567930,1.02E-07,3.067845494
2097378786,1.02E-07,3.067902009
2099189642,1.01E-07,3.067958524
2101000498,1.01E-07,3.068015039
2102811354,1.01E-07,3.068071555
2104622210,1.01E-07,3.06812807
2106433066,1.00E-07,3.068184585
2108243922,1.00E-07,3.0682411
2110054778,9.99E-08,3.068297615
2111865634,9.96E-08,3.06835413
2113676491,9.93E-08,3.068410645
2115487347,9.91E-08,3.06846716
2117298203,9.88E-08,3.068523675
2119109059,9.85E-08,3.068580191
2120919915,9.83E-08,3.068636706
2122730771,9.80E-08,3.068693221
2124541627,9.78E-08,3.068749736
2126352483,9.75E-08,3.068806251
2128163339,9.72E-08,3.068862766
2129974195,9.70E-08,3.068919281
2131785051,9.67E-08,3.068975796
2133595907,9.64E-08,3.069032311
2135406764,9.62E-08,3.069088827
2137217620,9.59E-08,3.069145342
2139028476,9.57E-08,3.069201857
2140839332,9.54E-08,3.069258372
2142650188,9.51E-08,3.069314887
2144461044,9.49E-08,3.069371402
2146271900,9.46E-08,3.069427917
2148082756,9.43E-08,3.069484432
2149893612,9.41E-08,3.069540947
2151704468,9.38E-08,3.069597463
2153515324,9.36E-08,3.069653978
2155326180,9.33E-08,3.069710493
2157137037,9.30E-08,3.069767008
2158947893,9.28E-08,3.069823523
2160758749,9.25E-08,3.069880038
2162569605,9.22E-08,3.069936553
2164380461,9.20E-08,3.069993068
2166191317,9.17E-08,3.070049583
2168002173,9.15E-08,3.070106099
2169813029,9.12E-08,3.070162614
2171623885,9.09E-08,3.070219129
2173434741,9.07E-08,3.070275644
2175245597,9.04E-08,3.070332159
2177056453,9.01E-08,3.070388674
2178867310,8.99E-08,3.070445189
2180678166,8.96E-08,3.070501704
2182489022,8.94E-08,3.070558219
2184299878,8.91E-08,3.070614735
2186110734,8.88E-08,3.07067125
2187921590,8.86E-08,3.070727765
2189732446,8.83E-08,3.07078428
2191543302,8.80E-08,3.070840795
2193354158,8.78E-08,3.07089731
2195165014,8.75E-08,3.070953825
2196975870,8.73E-08,3.07101034
2198786726,8.70E-08,3.071066855
2200597583,8.67E-08,3.071123371
2202408439,8.65E-08,3.071179886
2204219295,8.62E-08,3.071236401
2206030151,8.59E-08,3.071292916
2207841007,8.57E-08,3.071349431
2209651863,8.54E-08,3.071405946
2211462719,8.52E-08,3.071462461
2213273575,8.49E-08,3.071518976
2215084431,8.46E-08,3.071575491
2216895287,8.44E-08,3.071632007
2218706143,8.41E-08,3.071688522
2220516999,8.38E-08,3.071745037
2222327855,8.36E-08,3.071801552
2224138712,8.33E-08,3.071858067
2225949568,8.31E-08,3.071914582
2227760424,8.28E-08,3.071971097
2229571280,8.25E-08,3.072027612
2231382136,8.23E-08,3.072084127
2233192992,8.20E-08,3.072140643
2235003848,8.17E-08,3.072197158
2236814704,8.15E-08,3.072253673
2238625560,8.12E-08,3.072310188
2240436416,8.10E-08,3.072366703
2242247272,8.07E-08,3.072423218
2244058128,8.04E-08,3.072479733
2245868985,8.02E-08,3.072536248
2247679841,7.99E-08,3.072592763
2249490697,7.96E-08,3.072649279
2251301553,7.94E-08,3.072705794
2253112409,7.91E-08,3.072762309
2254923265,7.89E-08,3.072818824
2256734121,7.86E-08,3.072875339
2258544977,7.83E-08,3.072931854
2260355833,7.81E-08,3.072988369
2262166689,7.78E-08,3.073044884
2263977545,7.75E-08,3.073101399
2265788401,7.73E-08,3.073157915
2267599258,7.70E-08,3.07321443
2269410114,7.68E-08,3.073270945
2271220970,7.65E-08,3.07332746
2273031826,7.62E-08,3.073383975
2274842682,7.60E-08,3.07344049
2276653538,7.57E-08,3.073497005
2278464394,7.54E-08,3.07355352
2280275250,7.52E-08,3.073610035
2282086106,7.49E-08,3.073666551
2283896962,7.47E-08,3.073723066
2285707818,7.44E-08,3.073779581
2287518674,7.41E-08,3.073836096
2289329531,7.39E-08,3.073892611
2291140387,7.36E-08,3.073949126
2292951243,7.33E-08,3.074005641
2294762099,7.31E-08,3.074062156
2296572955,7.28E-08,3.074118671
2298383811,7.26E-08,3.074175187
2300194667,7.23E-08,3.074231702
2302005523,7.20E-08,3.074288217
2303816379,7.18E-08,3.074344732
2305627235,7.15E-08,3.074401247
2307438091,7.12E-08,3.074457762
2309248947,7.10E-08,3.074514277
2311059804,7.07E-08,3.074570792
2312870660,7.05E-08,3.074627307
2314681516,7.02E-08,3.074683823
2316492372,6.99E-08,3.074740338
2318303228,6.97E-08,3.074796853
2320114084,6.94E-08,3.074853368
2321924940,6.91E-08,3.074909883
2323735796,6.89E-08,3.074966398
2325546652,6.86E-08,3.075022913
2327357508,6.84E-08,3.075079428
2329168364,6.81E-08,3.075135943
2330979220,6.78E-08,3.075192459
2332790077,6.76E-08,3.075248974
2334600933,6.73E-08,3.075305489
2336411789,6.70E-08,3.075362004
2338222645,6.68E-08,3.075418519
2340033501,6.65E-08,3.075475034
2341844357,6.63E-08,3.075531549
2343655213,6.60E-08,3.075588064
2345466069,6.57E-08,3.075644579
2347276925,6.55E-08,3.075701095
2349087781,6.52E-08,3.07575761
2350898637,6.49E-08,3.075814125
2352709493,6.47E-08,3.07587064
2354520349,6.44E-08,3.075927155
2356331206,6.42E-08,3.07598367
2358142062,6.39E-08,3.076040185
